X1,Drosophila melanogaster,Drosophila simulans,Drosophila hydei,Scaptodrosophila lattivitata,Drosophila immigrans,Drosophila subpulchrella,Drosophila suzukii,Drosophila biarmipes,Other,Carpophilus davidsoni,Carpophilus nr.dimidiatus,Carpophilus hemipterus,Urophorus humeralis,Brachypeplus Sp,carpophilus other,Synthetic Drosophilidae,Synthetic Tephritidae,Synthetic Culicidae,Synthetic Nitidulidae,Synthetic Cerambycidae,Synthetic Tortricidae,Synthetic Crambidae,Synthetic Aphididae,Synthetic Triozidae,Synthetic Apidae,Synthetic Siricidae,Synthetic Acrididae,Synthetic Thripidae
CM1,NA,NA,NA,NA,NA,NA,NA,NA,NA,150,80,40,15,15,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CM2,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,150,40,15,15,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CM3,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,40,150,15,15,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CM4,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,60,60,100,20,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CM5,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,60,60,20,100,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CM6,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,100,100,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CM7,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,60,60,60,60,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CM8,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,3,100,49,48,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CM9,NA,NA,NA,NA,NA,NA,NA,NA,NA,73,73,151,0,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CM10,NA,NA,NA,NA,NA,NA,NA,NA,NA,72,150,72,0,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CM11,NA,NA,NA,NA,NA,NA,NA,NA,NA,135,0,135,15,15,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CML1,NA,NA,NA,NA,NA,NA,NA,NA,NA,240,30,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CML2,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,240,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CML3,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,30,240,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CML4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,149,149,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CML5,NA,NA,NA,NA,NA,NA,NA,NA,NA,148,3,149,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CML6,NA,NA,NA,NA,NA,NA,NA,NA,NA,148,149,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D100M1,30,50,10,10,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D100M2,40,9,30,10,10,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D100M3,14,10,40,30,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D100M4,40,10,0,39,5,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D100M5,10,55,14,0,20,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D250M1,75,125,25,25,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D250M2,100,25,75,25,24,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D250M3,37,25,100,82,0,1,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D250M4,100,25,0,104,15,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D250M5,25,145,29,0,50,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D500M1,150,250,50,50,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D500M2,200,50,150,50,49,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D500M3,70,50,220,154,0,1,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D500M4,210,50,0,210,24,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D500M5,54,275,70,0,100,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D1000M1,300,500,100,100,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D1000M2,400,100,300,100,99,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D1000M3,194,100,400,300,0,1,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D1000M4,444,100,0,400,50,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D1000M5,100,550,149,0,200,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DLarv1,75,125,49,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DLarv2,100,25,100,25,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DLarv3,40,29,100,80,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DLarv4,100,50,0,100,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DLarv5,0,190,19,40,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SynMock1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1
M2ACV,NA,NA,NA,NA,NA,NA,1,1,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M2DC,NA,NA,NA,NA,NA,1,NA,1,175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M2FF,NA,NA,NA,NA,NA,NA,NA,NA,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M4ACV,NA,NA,NA,NA,NA,NA,NA,NA,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M4DC,NA,NA,NA,NA,NA,1,1,1,300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M4FF,NA,NA,NA,NA,NA,NA,1,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M6ACV,NA,NA,NA,NA,NA,NA,NA,NA,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M6DC,NA,NA,NA,NA,NA,1,1,NA,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M6FF,NA,NA,NA,NA,NA,NA,NA,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T10ACV,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T10DC,NA,NA,NA,NA,NA,NA,NA,NA,130,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T10FF,NA,NA,NA,NA,NA,NA,NA,NA,200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T10SPD,NA,NA,NA,NA,NA,NA,1,NA,490,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T2ACV,NA,NA,NA,NA,NA,NA,NA,NA,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T2DC,NA,NA,NA,NA,NA,1,NA,1,120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T2SPD,NA,NA,NA,NA,NA,NA,NA,1,340,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T4ACV,NA,NA,NA,NA,NA,NA,NA,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T4DC,NA,NA,NA,NA,NA,NA,NA,NA,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T4FF,NA,NA,NA,NA,NA,1,1,NA,400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T4SPD,NA,NA,NA,NA,NA,NA,NA,NA,119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T6ACV,NA,NA,NA,NA,NA,1,1,NA,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T6DC,NA,NA,NA,NA,NA,NA,NA,NA,190,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T6FF,NA,NA,NA,NA,NA,NA,NA,NA,350,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T6SPD,NA,NA,NA,NA,NA,1,NA,NA,280,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T8ACV,NA,NA,NA,NA,NA,NA,NA,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T8DC,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T8FF,NA,NA,NA,NA,NA,1,NA,NA,400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T8SPD,NA,NA,NA,NA,NA,NA,1,NA,480,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
